Metric,Mean_Diff,Std_Diff,CI_Lower,CI_Upper,P_Value,Wilcoxon_P,Cohens_D,Significant
accuracy,0.015667245495984368,0.004111223238611932,0.008025830258302488,0.023876709355328818,0.0,3.2719010881878056e-165,3.0227346202084937,True
balanced_accuracy,0.015807050235795136,0.004126545847797996,0.007780185802956713,0.02367747685452091,0.0,3.3258572475243253e-165,3.041829849230736,True
f1_macro,0.015729222553770485,0.004121587046628333,0.007947083979112724,0.02394382809296153,0.0,3.325859118934513e-165,3.0324173043923373,True
f1_weighted,0.015655897701934037,0.004106184171835523,0.007980096889528202,0.02381600504961362,0.0,3.325859118934513e-165,3.023242087816601,True
precision_macro,0.01570456915909416,0.004112782273678383,0.00790077680530878,0.023923831035862337,0.0,3.325859118934513e-165,3.0346459097545226,True
recall_macro,0.015807050235795136,0.004126545847797996,0.007780185802956713,0.02367747685452091,0.0,3.3258572475243253e-165,3.041829849230736,True
mcc,0.031511480391539406,0.008236024512968945,0.015611701730083671,0.04773801569953401,0.0,3.325859118934513e-165,3.042573853391997,True
cohen_kappa,0.03145463036472884,0.008238455937546343,0.015816989141838145,0.04787278294096971,0.0,3.325859118934513e-165,3.0342610675319337,True
