Model,Metric,Mean,Std,CI_Lower,CI_Upper
MultiView_Original,accuracy,0.8526778814846971,0.005330792779589995,0.8421966572606903,0.8632515736922075
MultiView_Original,balanced_accuracy,0.8531656639239035,0.005359266541214225,0.8425422623463039,0.8638989796356119
MultiView_Original,f1_macro,0.8522001636660707,0.005340298833722449,0.8417105558986785,0.8627837592203663
MultiView_Original,f1_weighted,0.8528199376654423,0.005326492304733106,0.8423254198303516,0.8633511993297482
MultiView_Original,precision_macro,0.8518053189270711,0.005333516128109272,0.8414606387041731,0.8624227583325603
MultiView_Original,recall_macro,0.8531656639239035,0.005359266541214225,0.8425422623463039,0.8638989796356119
MultiView_Original,mcc,0.7049694570273243,0.010678688443373604,0.6837520139232016,0.7260807128658373
MultiView_Original,cohen_kappa,0.7044987597709167,0.01067529367900044,0.6834667001136886,0.7256431227353335
MultiView_FuzzyR,accuracy,0.8683451269806816,0.0050311481672055975,0.8586932928152811,0.8790970262643802
MultiView_FuzzyR,balanced_accuracy,0.8689727141596987,0.005028590895025757,0.8593531877064826,0.879728276821035
MultiView_FuzzyR,f1_macro,0.8679293862198413,0.005029080696558393,0.8582467497258305,0.8787864010412235
MultiView_FuzzyR,f1_weighted,0.8684758353673763,0.005026178305407409,0.8588007234328834,0.8792401705314303
MultiView_FuzzyR,precision_macro,0.8675098880861654,0.005011660634508912,0.8579875180178518,0.8783804358652282
MultiView_FuzzyR,recall_macro,0.8689727141596987,0.005028590895025757,0.8593531877064826,0.879728276821035
MultiView_FuzzyR,mcc,0.7364809374188638,0.01002468396039316,0.7175112877649054,0.7581083708570541
MultiView_FuzzyR,cohen_kappa,0.7359533901356455,0.01004819604901664,0.7165345176503344,0.7576253584802166
