Model,Dialect,Metric,Mean,Std,CI_Lower,CI_Upper,N_Samples
MultiView_Original,lebanese,accuracy,0.8736868447751098,0.006166154680625685,0.8616841393304024,0.886709502874535,2957
MultiView_Original,lebanese,balanced_accuracy,0.8750288602950632,0.0061265348195451395,0.8632399335312763,0.8875410170209458,2957
MultiView_Original,lebanese,f1_macro,0.8734158769532062,0.006178136750444759,0.8616611606473245,0.8861049976083328,2957
MultiView_Original,lebanese,mcc,0.7482580959273926,0.01225963725284957,0.7246762027997568,0.7735121653425587,2957
MultiView_Original,lebanese,cohen_kappa,0.7470386823960562,0.012328673059193612,0.7236867440088973,0.7724063989944792,2957
MultiView_Original,egyptian,accuracy,0.8616716101694915,0.01635070597432871,0.826271186440678,0.8919491525423728,472
MultiView_Original,egyptian,balanced_accuracy,0.8640783008280815,0.016242282971293865,0.8285816920518208,0.8941636664746544,472
MultiView_Original,egyptian,f1_macro,0.8600126788220116,0.016570985932421987,0.824740930380819,0.8898154249125728,472
MultiView_Original,egyptian,mcc,0.7228324901073805,0.03267461834853552,0.6515474957465823,0.7816530390491156,472
MultiView_Original,egyptian,cohen_kappa,0.720488390217386,0.032993379720483225,0.6494944480643652,0.7798777931082819,472
MultiView_Original,tunisian,accuracy,0.7963378607809848,0.012148849991226165,0.7724745331069609,0.8200551782682513,1178
MultiView_Original,tunisian,balanced_accuracy,0.7930416077822401,0.012506103732065987,0.766763619404912,0.8174304091133555,1178
MultiView_Original,tunisian,f1_macro,0.7916386280461111,0.012443486035793414,0.765495497067275,0.8161506482637685,1178
MultiView_Original,tunisian,mcc,0.5838286047159856,0.024867312734970864,0.5311644770073454,0.6324519103264777,1178
MultiView_Original,tunisian,cohen_kappa,0.5834204331528305,0.02486997323397245,0.531004278473337,0.6323457022889739,1178
MultiView_FuzzyR,lebanese,accuracy,0.8826834629692255,0.0060022431673845,0.8711531958065607,0.8948342915116673,2957
MultiView_FuzzyR,lebanese,balanced_accuracy,0.8841574172163135,0.005964299577659379,0.8729789328052415,0.8961998628593446,2957
MultiView_FuzzyR,lebanese,f1_macro,0.8824441385175048,0.006005999575906717,0.8711015459717352,0.8948095612705143,2957
MultiView_FuzzyR,lebanese,mcc,0.7664415353836478,0.011899587161473891,0.744372269551694,0.790938616201035,2957
MultiView_FuzzyR,lebanese,cohen_kappa,0.7650954765190335,0.011983050589536077,0.7425602938101328,0.7898367900798978,2957
MultiView_FuzzyR,egyptian,accuracy,0.9299343220338983,0.012265093643514155,0.902542372881356,0.9533898305084746,472
MultiView_FuzzyR,egyptian,balanced_accuracy,0.9276844999657243,0.012686780812193826,0.8998817631825491,0.9510437913816399,472
MultiView_FuzzyR,egyptian,f1_macro,0.9283265504582876,0.012552323578168989,0.9007697620032973,0.9514648419242058,472
MultiView_FuzzyR,egyptian,mcc,0.8570352451640908,0.025048491884703043,0.8018801404425502,0.9029306081630639,472
MultiView_FuzzyR,egyptian,cohen_kappa,0.8566829094708049,0.025094533522761985,0.8015750879837787,0.9029297292185491,472
MultiView_FuzzyR,tunisian,accuracy,0.8076757215619693,0.011442879469208753,0.7835314091680815,0.8285441426146011,1178
MultiView_FuzzyR,tunisian,balanced_accuracy,0.8018584275470019,0.011788491818712363,0.7769252796826586,0.8241881025980741,1178
MultiView_FuzzyR,tunisian,f1_macro,0.8021556305348844,0.01167563941272439,0.7776750626131753,0.8234508597344439,1178
MultiView_FuzzyR,tunisian,mcc,0.6046169787202496,0.023330998146723597,0.5553638626296106,0.6469244900344506,1178
MultiView_FuzzyR,tunisian,cohen_kappa,0.6043854947012142,0.023340369313621653,0.5553507423841421,0.6469064217481106,1178
